Host: ubuntu19  Current process id: 14488
./linkern -s 43 -S linkern.tour -R 1000000000 -t 10000 ./cities1k.tsp
Chained Lin-Kernighan with seed 43
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.07
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 1.53
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.21
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515104241   7.58 seconds
5009 Steps   Best: 1509773664   25.46 seconds
5014 Steps   Best: 1509772522   25.48 seconds
5023 Steps   Best: 1509769265   25.51 seconds
5030 Steps   Best: 1509768336   25.53 seconds
5037 Steps   Best: 1509766749   25.55 seconds
5054 Steps   Best: 1509764528   25.61 seconds
5056 Steps   Best: 1509762419   25.63 seconds
5058 Steps   Best: 1509762318   25.63 seconds
5064 Steps   Best: 1509762253   25.65 seconds
5065 Steps   Best: 1509761523   25.65 seconds
5067 Steps   Best: 1509757979   25.66 seconds
5071 Steps   Best: 1509755555   25.66 seconds
5078 Steps   Best: 1509748814   25.68 seconds
5085 Steps   Best: 1509747236   25.70 seconds
5088 Steps   Best: 1509746224   25.71 seconds
5094 Steps   Best: 1509743527   25.73 seconds
5095 Steps   Best: 1509740922   25.73 seconds
5110 Steps   Best: 1509740833   25.79 seconds
5114 Steps   Best: 1509740313   25.80 seconds
5118 Steps   Best: 1509739229   25.81 seconds
5120 Steps   Best: 1509738978   25.82 seconds
5123 Steps   Best: 1509736568   25.84 seconds
5129 Steps   Best: 1509734172   25.86 seconds
5131 Steps   Best: 1509733200   25.87 seconds
5132 Steps   Best: 1509733049   25.87 seconds
5136 Steps   Best: 1509725523   25.89 seconds
5141 Steps   Best: 1509724834   25.90 seconds
5144 Steps   Best: 1509723631   25.91 seconds
5146 Steps   Best: 1509723476   25.92 seconds
5152 Steps   Best: 1509723057   25.93 seconds
5156 Steps   Best: 1509722825   25.94 seconds
5161 Steps   Best: 1509720562   25.95 seconds
5163 Steps   Best: 1509718830   25.96 seconds
5165 Steps   Best: 1509717700   25.96 seconds
5169 Steps   Best: 1509717334   25.98 seconds
5174 Steps   Best: 1509713194   26.00 seconds
5180 Steps   Best: 1509712817   26.02 seconds
5197 Steps   Best: 1509711630   26.08 seconds
5198 Steps   Best: 1509711586   26.08 seconds
5199 Steps   Best: 1509710707   26.08 seconds
5200 Steps   Best: 1509710418   26.09 seconds
5201 Steps   Best: 1509710378   26.09 seconds
5204 Steps   Best: 1509701056   26.09 seconds
5209 Steps   Best: 1509700245   26.10 seconds
5211 Steps   Best: 1509699095   26.11 seconds
5212 Steps   Best: 1509695843   26.11 seconds
5213 Steps   Best: 1509694734   26.11 seconds
5214 Steps   Best: 1509694479   26.12 seconds
5216 Steps   Best: 1509694066   26.12 seconds
5223 Steps   Best: 1509693766   26.14 seconds
5226 Steps   Best: 1509693136   26.15 seconds
5231 Steps   Best: 1509692978   26.17 seconds
5234 Steps   Best: 1509692129   26.18 seconds
5235 Steps   Best: 1509690330   26.19 seconds
5240 Steps   Best: 1509687744   26.20 seconds
5241 Steps   Best: 1509686288   26.20 seconds
5254 Steps   Best: 1509686155   26.25 seconds
5262 Steps   Best: 1509685903   26.27 seconds
5265 Steps   Best: 1509685840   26.28 seconds
5272 Steps   Best: 1509683050   26.31 seconds
5281 Steps   Best: 1509680977   26.34 seconds
5288 Steps   Best: 1509679469   26.36 seconds
5300 Steps   Best: 1509678591   26.40 seconds
5301 Steps   Best: 1509673876   26.41 seconds
5311 Steps   Best: 1509671857   26.45 seconds
5314 Steps   Best: 1509670238   26.45 seconds
5321 Steps   Best: 1509668578   26.48 seconds
5325 Steps   Best: 1509668551   26.49 seconds
5327 Steps   Best: 1509667676   26.50 seconds
5341 Steps   Best: 1509666904   26.56 seconds
5344 Steps   Best: 1509666900   26.57 seconds
5345 Steps   Best: 1509666105   26.57 seconds
5347 Steps   Best: 1509665883   26.57 seconds
5348 Steps   Best: 1509664198   26.57 seconds
5351 Steps   Best: 1509664156   26.58 seconds
5355 Steps   Best: 1509662256   26.60 seconds
5360 Steps   Best: 1509660764   26.61 seconds
5362 Steps   Best: 1509657803   26.61 seconds
5377 Steps   Best: 1509656430   26.65 seconds
5378 Steps   Best: 1509656081   26.65 seconds
5386 Steps   Best: 1509654795   26.68 seconds
5394 Steps   Best: 1509654741   26.72 seconds
5400 Steps   Best: 1509652336   26.74 seconds
5401 Steps   Best: 1509651669   26.74 seconds
5403 Steps   Best: 1509651226   26.75 seconds
5404 Steps   Best: 1509651062   26.75 seconds
5408 Steps   Best: 1509646516   26.76 seconds
5417 Steps   Best: 1509646224   26.78 seconds
5423 Steps   Best: 1509644849   26.80 seconds
5425 Steps   Best: 1509644270   26.80 seconds
5431 Steps   Best: 1509641562   26.82 seconds
5443 Steps   Best: 1509641274   26.85 seconds
5445 Steps   Best: 1509640488   26.86 seconds
5447 Steps   Best: 1509633525   26.87 seconds
5456 Steps   Best: 1509631046   26.89 seconds
5464 Steps   Best: 1509630914   26.92 seconds
5466 Steps   Best: 1509628397   26.94 seconds
5467 Steps   Best: 1509621762   26.95 seconds
5471 Steps   Best: 1509620529   26.96 seconds
5474 Steps   Best: 1509619757   26.97 seconds
5479 Steps   Best: 1509617766   26.99 seconds
5487 Steps   Best: 1509617319   27.02 seconds
5490 Steps   Best: 1509615955   27.03 seconds
5491 Steps   Best: 1509615905   27.03 seconds
5495 Steps   Best: 1509614011   27.04 seconds
5505 Steps   Best: 1509607974   27.07 seconds
5507 Steps   Best: 1509607812   27.07 seconds
5508 Steps   Best: 1509607312   27.07 seconds
5509 Steps   Best: 1509606085   27.07 seconds
5517 Steps   Best: 1509605159   27.09 seconds
5521 Steps   Best: 1509604282   27.11 seconds
5522 Steps   Best: 1509602715   27.12 seconds
5526 Steps   Best: 1509602084   27.13 seconds
5538 Steps   Best: 1509600419   27.17 seconds
5539 Steps   Best: 1509599980   27.17 seconds
5542 Steps   Best: 1509599875   27.19 seconds
5547 Steps   Best: 1509599587   27.20 seconds
5550 Steps   Best: 1509598888   27.21 seconds
5553 Steps   Best: 1509594814   27.22 seconds
5555 Steps   Best: 1509593940   27.22 seconds
5557 Steps   Best: 1509592366   27.24 seconds
5558 Steps   Best: 1509592281   27.25 seconds
5561 Steps   Best: 1509591202   27.25 seconds
5569 Steps   Best: 1509590455   27.28 seconds
5570 Steps   Best: 1509590040   27.28 seconds
5579 Steps   Best: 1509589316   27.33 seconds
5584 Steps   Best: 1509586739   27.34 seconds
5585 Steps   Best: 1509585532   27.35 seconds
5586 Steps   Best: 1509580724   27.35 seconds
5588 Steps   Best: 1509577810   27.36 seconds
5590 Steps   Best: 1509576475   27.36 seconds
5591 Steps   Best: 1509573359   27.36 seconds
5601 Steps   Best: 1509573066   27.39 seconds
5604 Steps   Best: 1509572094   27.40 seconds
5605 Steps   Best: 1509571729   27.40 seconds
5608 Steps   Best: 1509569882   27.41 seconds
5610 Steps   Best: 1509569827   27.42 seconds
5611 Steps   Best: 1509569326   27.42 seconds
5613 Steps   Best: 1509565889   27.42 seconds
5617 Steps   Best: 1509563694   27.44 seconds
5618 Steps   Best: 1509562602   27.44 seconds
5634 Steps   Best: 1509562017   27.49 seconds
5636 Steps   Best: 1509553894   27.49 seconds
5637 Steps   Best: 1509553067   27.49 seconds
5640 Steps   Best: 1509552363   27.51 seconds
5643 Steps   Best: 1509551617   27.53 seconds
5647 Steps   Best: 1509551085   27.53 seconds
5650 Steps   Best: 1509551001   27.54 seconds
5651 Steps   Best: 1509549541   27.55 seconds
5652 Steps   Best: 1509546444   27.55 seconds
5663 Steps   Best: 1509543427   27.61 seconds
5666 Steps   Best: 1509541528   27.61 seconds
5675 Steps   Best: 1509540182   27.64 seconds
5682 Steps   Best: 1509534720   27.66 seconds
5688 Steps   Best: 1509533287   27.67 seconds
5700 Steps   Best: 1509532730   27.71 seconds
5713 Steps   Best: 1509529230   27.76 seconds
5714 Steps   Best: 1509528016   27.77 seconds
5715 Steps   Best: 1509526852   27.77 seconds
5721 Steps   Best: 1509514772   27.79 seconds
5722 Steps   Best: 1509513890   27.79 seconds
5725 Steps   Best: 1509511327   27.80 seconds
5726 Steps   Best: 1509510137   27.80 seconds
5730 Steps   Best: 1509507863   27.81 seconds
5732 Steps   Best: 1509506218   27.82 seconds
5734 Steps   Best: 1509505266   27.83 seconds
5736 Steps   Best: 1509504895   27.83 seconds
5749 Steps   Best: 1509504348   27.86 seconds
5753 Steps   Best: 1509504146   27.88 seconds
5754 Steps   Best: 1509503793   27.88 seconds
5755 Steps   Best: 1509502568   27.89 seconds
5761 Steps   Best: 1509501826   27.91 seconds
5765 Steps   Best: 1509500600   27.93 seconds
5766 Steps   Best: 1509499616   27.93 seconds
5767 Steps   Best: 1509499051   27.93 seconds
5771 Steps   Best: 1509498929   27.94 seconds
5775 Steps   Best: 1509495225   27.96 seconds
5781 Steps   Best: 1509494945   27.98 seconds
5782 Steps   Best: 1509494558   27.98 seconds
5783 Steps   Best: 1509493517   27.99 seconds
5791 Steps   Best: 1509491979   28.01 seconds
5796 Steps   Best: 1509491780   28.02 seconds
5797 Steps   Best: 1509489896   28.03 seconds
5801 Steps   Best: 1509489708   28.04 seconds
5803 Steps   Best: 1509488768   28.05 seconds
5805 Steps   Best: 1509485425   28.05 seconds
5819 Steps   Best: 1509485123   28.09 seconds
5820 Steps   Best: 1509483933   28.10 seconds
5821 Steps   Best: 1509482886   28.10 seconds
5825 Steps   Best: 1509482074   28.12 seconds
5828 Steps   Best: 1509481470   28.12 seconds
5832 Steps   Best: 1509473469   28.13 seconds
5833 Steps   Best: 1509470377   28.14 seconds
5834 Steps   Best: 1509469337   28.14 seconds
5836 Steps   Best: 1509468483   28.14 seconds
5838 Steps   Best: 1509467571   28.15 seconds
5839 Steps   Best: 1509467540   28.15 seconds
5840 Steps   Best: 1509465822   28.15 seconds
5841 Steps   Best: 1509465777   28.16 seconds
5844 Steps   Best: 1509465387   28.17 seconds
5847 Steps   Best: 1509465203   28.17 seconds
5849 Steps   Best: 1509464218   28.18 seconds
5850 Steps   Best: 1509460643   28.18 seconds
5853 Steps   Best: 1509460488   28.19 seconds
5856 Steps   Best: 1509460473   28.19 seconds
5859 Steps   Best: 1509459740   28.21 seconds
5867 Steps   Best: 1509459277   28.23 seconds
5875 Steps   Best: 1509458447   28.25 seconds
5878 Steps   Best: 1509458081   28.26 seconds
5881 Steps   Best: 1509456997   28.27 seconds
5886 Steps   Best: 1509455360   28.29 seconds
5888 Steps   Best: 1509454210   28.29 seconds
5889 Steps   Best: 1509453514   28.29 seconds
5890 Steps   Best: 1509451964   28.29 seconds
5893 Steps   Best: 1509451153   28.30 seconds
5896 Steps   Best: 1509450172   28.32 seconds
5903 Steps   Best: 1509448798   28.35 seconds
5906 Steps   Best: 1509446340   28.36 seconds
5907 Steps   Best: 1509443266   28.37 seconds
5915 Steps   Best: 1509442084   28.39 seconds
5918 Steps   Best: 1509441025   28.40 seconds
5919 Steps   Best: 1509439496   28.41 seconds
5923 Steps   Best: 1509436246   28.43 seconds
5925 Steps   Best: 1509432870   28.43 seconds
5926 Steps   Best: 1509432102   28.44 seconds
5929 Steps   Best: 1509429603   28.45 seconds
5936 Steps   Best: 1509429219   28.46 seconds
5940 Steps   Best: 1509424439   28.47 seconds
5945 Steps   Best: 1509423280   28.49 seconds
5950 Steps   Best: 1509422807   28.51 seconds
5957 Steps   Best: 1509422102   28.54 seconds
5963 Steps   Best: 1509421932   28.56 seconds
5964 Steps   Best: 1509418127   28.56 seconds
5971 Steps   Best: 1509417222   28.58 seconds
5973 Steps   Best: 1509415642   28.59 seconds
5977 Steps   Best: 1509413619   28.60 seconds
5979 Steps   Best: 1509412298   28.60 seconds
5986 Steps   Best: 1509412123   28.62 seconds
5990 Steps   Best: 1509408680   28.63 seconds
5999 Steps   Best: 1509408680   28.66 seconds
6015 Steps   Best: 1509407686   28.71 seconds
6019 Steps   Best: 1509406042   28.72 seconds
6021 Steps   Best: 1509405719   28.73 seconds
6025 Steps   Best: 1509405586   28.74 seconds
6030 Steps   Best: 1509403115   28.75 seconds
6031 Steps   Best: 1509401432   28.75 seconds
6036 Steps   Best: 1509398255   28.76 seconds
6041 Steps   Best: 1509396610   28.78 seconds
6048 Steps   Best: 1509394008   28.79 seconds
6050 Steps   Best: 1509393752   28.80 seconds
6053 Steps   Best: 1509393577   28.81 seconds
6059 Steps   Best: 1509392523   28.82 seconds
6062 Steps   Best: 1509392045   28.83 seconds
6078 Steps   Best: 1509391224   28.88 seconds
6080 Steps   Best: 1509390636   28.89 seconds
6087 Steps   Best: 1509390345   28.92 seconds
6092 Steps   Best: 1509389880   28.94 seconds
6100 Steps   Best: 1509388596   28.97 seconds
6102 Steps   Best: 1509388175   28.97 seconds
6110 Steps   Best: 1509387867   28.99 seconds
6115 Steps   Best: 1509387852   29.00 seconds
6119 Steps   Best: 1509387670   29.01 seconds
6125 Steps   Best: 1509387623   29.03 seconds
6138 Steps   Best: 1509385707   29.06 seconds
6147 Steps   Best: 1509385028   29.08 seconds
6153 Steps   Best: 1509384027   29.10 seconds
6154 Steps   Best: 1509381863   29.10 seconds
6159 Steps   Best: 1509381729   29.12 seconds
6164 Steps   Best: 1509381555   29.13 seconds
6166 Steps   Best: 1509378199   29.13 seconds
6169 Steps   Best: 1509378026   29.14 seconds
6176 Steps   Best: 1509376375   29.17 seconds
6191 Steps   Best: 1509374722   29.23 seconds
6198 Steps   Best: 1509373359   29.24 seconds
6199 Steps   Best: 1509373122   29.25 seconds
6205 Steps   Best: 1509370388   29.26 seconds
6207 Steps   Best: 1509368568   29.27 seconds
6216 Steps   Best: 1509367574   29.29 seconds
6221 Steps   Best: 1509367500   29.31 seconds
6223 Steps   Best: 1509366670   29.31 seconds
6226 Steps   Best: 1509364598   29.32 seconds
6229 Steps   Best: 1509363627   29.33 seconds
6230 Steps   Best: 1509362472   29.33 seconds
6232 Steps   Best: 1509361387   29.33 seconds
6235 Steps   Best: 1509360329   29.35 seconds
6236 Steps   Best: 1509357575   29.35 seconds
6238 Steps   Best: 1509356379   29.35 seconds
6239 Steps   Best: 1509356234   29.36 seconds
6242 Steps   Best: 1509355430   29.37 seconds
6250 Steps   Best: 1509353713   29.39 seconds
6257 Steps   Best: 1509351038   29.41 seconds
6258 Steps   Best: 1509350632   29.41 seconds
6259 Steps   Best: 1509349476   29.41 seconds
6260 Steps   Best: 1509348808   29.41 seconds
6262 Steps   Best: 1509348089   29.42 seconds
6264 Steps   Best: 1509346139   29.42 seconds
6266 Steps   Best: 1509345508   29.43 seconds
6269 Steps   Best: 1509344115   29.44 seconds
6277 Steps   Best: 1509343641   29.46 seconds
6285 Steps   Best: 1509342943   29.49 seconds
6296 Steps   Best: 1509341626   29.52 seconds
6301 Steps   Best: 1509340239   29.54 seconds
6304 Steps   Best: 1509339718   29.54 seconds
6312 Steps   Best: 1509339701   29.58 seconds
6315 Steps   Best: 1509335962   29.59 seconds
6325 Steps   Best: 1509335404   29.63 seconds
6329 Steps   Best: 1509335071   29.65 seconds
6330 Steps   Best: 1509333369   29.65 seconds
6334 Steps   Best: 1509332159   29.66 seconds
6336 Steps   Best: 1509331608   29.67 seconds
6342 Steps   Best: 1509330901   29.68 seconds
6345 Steps   Best: 1509330442   29.68 seconds
6351 Steps   Best: 1509329873   29.70 seconds
6360 Steps   Best: 1509329447   29.72 seconds
6366 Steps   Best: 1509328462   29.74 seconds
6367 Steps   Best: 1509326260   29.74 seconds
6368 Steps   Best: 1509325539   29.74 seconds
6369 Steps   Best: 1509325051   29.75 seconds
6374 Steps   Best: 1509323371   29.76 seconds
6380 Steps   Best: 1509322247   29.78 seconds
6385 Steps   Best: 1509322032   29.79 seconds
6391 Steps   Best: 1509321886   29.81 seconds
6395 Steps   Best: 1509319027   29.82 seconds
6399 Steps   Best: 1509318369   29.84 seconds
6400 Steps   Best: 1509317869   29.84 seconds
6403 Steps   Best: 1509314217   29.85 seconds
6416 Steps   Best: 1509313577   29.89 seconds
6417 Steps   Best: 1509311786   29.89 seconds
6419 Steps   Best: 1509309825   29.90 seconds
6427 Steps   Best: 1509305019   29.93 seconds
6429 Steps   Best: 1509304292   29.94 seconds
6434 Steps   Best: 1509301564   29.95 seconds
6438 Steps   Best: 1509292207   29.96 seconds
6454 Steps   Best: 1509289563   30.03 seconds
6459 Steps   Best: 1509288158   30.04 seconds
6462 Steps   Best: 1509285990   30.06 seconds
6466 Steps   Best: 1509283215   30.07 seconds
6469 Steps   Best: 1509282676   30.07 seconds
6471 Steps   Best: 1509282484   30.08 seconds
6473 Steps   Best: 1509277394   30.09 seconds
6475 Steps   Best: 1509273590   30.09 seconds
6477 Steps   Best: 1509272302   30.09 seconds
6480 Steps   Best: 1509268875   30.10 seconds
6481 Steps   Best: 1509267000   30.10 seconds
6490 Steps   Best: 1509266791   30.13 seconds
6491 Steps   Best: 1509266297   30.13 seconds
6494 Steps   Best: 1509265850   30.14 seconds
6496 Steps   Best: 1509262152   30.14 seconds
6499 Steps   Best: 1509261252   30.15 seconds
6503 Steps   Best: 1509260668   30.16 seconds
6508 Steps   Best: 1509260661   30.17 seconds
6509 Steps   Best: 1509260399   30.17 seconds
6517 Steps   Best: 1509257027   30.19 seconds
6520 Steps   Best: 1509256380   30.20 seconds
6534 Steps   Best: 1509256140   30.24 seconds
6537 Steps   Best: 1509255670   30.25 seconds
6541 Steps   Best: 1509254813   30.26 seconds
6548 Steps   Best: 1509250918   30.28 seconds
6554 Steps   Best: 1509250861   30.29 seconds
6566 Steps   Best: 1509250341   30.34 seconds
6570 Steps   Best: 1509249081   30.35 seconds
6577 Steps   Best: 1509245842   30.36 seconds
6579 Steps   Best: 1509245766   30.37 seconds
6581 Steps   Best: 1509245339   30.37 seconds
6588 Steps   Best: 1509243703   30.39 seconds
6594 Steps   Best: 1509243560   30.41 seconds
6602 Steps   Best: 1509239001   30.43 seconds
6604 Steps   Best: 1509238130   30.43 seconds
6610 Steps   Best: 1509235132   30.45 seconds
6614 Steps   Best: 1509234371   30.46 seconds
6618 Steps   Best: 1509232329   30.47 seconds
6640 Steps   Best: 1509231294   30.53 seconds
6643 Steps   Best: 1509229248   30.54 seconds
6645 Steps   Best: 1509225633   30.55 seconds
6650 Steps   Best: 1509224192   30.56 seconds
6660 Steps   Best: 1509223424   30.59 seconds
6665 Steps   Best: 1509223075   30.60 seconds
6676 Steps   Best: 1509221631   30.63 seconds
6677 Steps   Best: 1509221545   30.63 seconds
6687 Steps   Best: 1509220569   30.67 seconds
6699 Steps   Best: 1509218964   30.70 seconds
6703 Steps   Best: 1509218899   30.71 seconds
6711 Steps   Best: 1509218740   30.73 seconds
6714 Steps   Best: 1509217523   30.74 seconds
6717 Steps   Best: 1509215005   30.74 seconds
6721 Steps   Best: 1509212978   30.76 seconds
6726 Steps   Best: 1509212720   30.77 seconds
6734 Steps   Best: 1509210409   30.80 seconds
6745 Steps   Best: 1509209704   30.83 seconds
6753 Steps   Best: 1509208001   30.86 seconds
6761 Steps   Best: 1509207535   30.89 seconds
6769 Steps   Best: 1509205422   30.91 seconds
6771 Steps   Best: 1509203628   30.91 seconds
6785 Steps   Best: 1509202001   30.96 seconds
6793 Steps   Best: 1509201378   30.99 seconds
6798 Steps   Best: 1509201067   31.01 seconds
6801 Steps   Best: 1509201038   31.01 seconds
6802 Steps   Best: 1509200233   31.02 seconds
6810 Steps   Best: 1509199315   31.04 seconds
6811 Steps   Best: 1509198989   31.04 seconds
6813 Steps   Best: 1509193400   31.04 seconds
6815 Steps   Best: 1509191417   31.05 seconds
6817 Steps   Best: 1509191390   31.05 seconds
6818 Steps   Best: 1509190488   31.06 seconds
6827 Steps   Best: 1509189348   31.08 seconds
6838 Steps   Best: 1509189071   31.12 seconds
6844 Steps   Best: 1509186592   31.13 seconds
6859 Steps   Best: 1509181629   31.18 seconds
6862 Steps   Best: 1509181458   31.19 seconds
6864 Steps   Best: 1509180507   31.19 seconds
6867 Steps   Best: 1509180480   31.20 seconds
6874 Steps   Best: 1509179301   31.22 seconds
6876 Steps   Best: 1509178551   31.23 seconds
6882 Steps   Best: 1509176899   31.25 seconds
6885 Steps   Best: 1509173297   31.26 seconds
6886 Steps   Best: 1509173190   31.26 seconds
6887 Steps   Best: 1509172828   31.27 seconds
6888 Steps   Best: 1509172582   31.27 seconds
6890 Steps   Best: 1509171822   31.28 seconds
6894 Steps   Best: 1509169523   31.31 seconds
6898 Steps   Best: 1509168941   31.33 seconds
6903 Steps   Best: 1509167046   31.34 seconds
6905 Steps   Best: 1509165654   31.35 seconds
6909 Steps   Best: 1509165563   31.36 seconds
6916 Steps   Best: 1509164290   31.38 seconds
6924 Steps   Best: 1509135665   31.40 seconds
6930 Steps   Best: 1509135232   31.42 seconds
6933 Steps   Best: 1509135196   31.43 seconds
6935 Steps   Best: 1509135138   31.43 seconds
6936 Steps   Best: 1509132356   31.43 seconds
6939 Steps   Best: 1509130766   31.45 seconds
6940 Steps   Best: 1509129721   31.45 seconds
6943 Steps   Best: 1509128279   31.45 seconds
6945 Steps   Best: 1509128161   31.46 seconds
6955 Steps   Best: 1509128145   31.49 seconds
6960 Steps   Best: 1509124532   31.51 seconds
6969 Steps   Best: 1509122022   31.53 seconds
6973 Steps   Best: 1509117567   31.55 seconds
6974 Steps   Best: 1509117535   31.55 seconds
6995 Steps   Best: 1509117301   31.62 seconds
6998 Steps   Best: 1509116663   31.63 seconds
6999 Steps   Best: 1509116663   31.63 seconds
7001 Steps   Best: 1509113642   31.63 seconds
7006 Steps   Best: 1509112185   31.65 seconds
7012 Steps   Best: 1509111540   31.67 seconds
7018 Steps   Best: 1509108991   31.69 seconds
7024 Steps   Best: 1509108434   31.70 seconds
7033 Steps   Best: 1509108238   31.72 seconds
7047 Steps   Best: 1509106220   31.77 seconds
7052 Steps   Best: 1509105603   31.79 seconds
7065 Steps   Best: 1509104834   31.83 seconds
7067 Steps   Best: 1509103277   31.83 seconds
7078 Steps   Best: 1509100735   31.89 seconds
7084 Steps   Best: 1509099931   31.90 seconds
7085 Steps   Best: 1509098956   31.91 seconds
7087 Steps   Best: 1509098888   31.91 seconds
7090 Steps   Best: 1509097612   31.92 seconds
7093 Steps   Best: 1509091298   31.94 seconds
7095 Steps   Best: 1509090172   31.95 seconds
7108 Steps   Best: 1509086118   31.99 seconds
7116 Steps   Best: 1509086043   32.03 seconds
7121 Steps   Best: 1509083337   32.04 seconds
7124 Steps   Best: 1509080542   32.05 seconds
7125 Steps   Best: 1509078780   32.05 seconds
7128 Steps   Best: 1509076987   32.06 seconds
7131 Steps   Best: 1509075275   32.06 seconds
7147 Steps   Best: 1509074030   32.12 seconds
7151 Steps   Best: 1509072583   32.12 seconds
7159 Steps   Best: 1509072210   32.14 seconds
7160 Steps   Best: 1509067924   32.14 seconds
7167 Steps   Best: 1509067554   32.18 seconds
7171 Steps   Best: 1509065863   32.19 seconds
7182 Steps   Best: 1509064954   32.22 seconds
7184 Steps   Best: 1509064819   32.22 seconds
7189 Steps   Best: 1509063256   32.24 seconds
7196 Steps   Best: 1509061640   32.25 seconds
7222 Steps   Best: 1509061128   32.33 seconds
7226 Steps   Best: 1509058693   32.35 seconds
7232 Steps   Best: 1509057465   32.36 seconds
7234 Steps   Best: 1509056949   32.36 seconds
7239 Steps   Best: 1509053068   32.38 seconds
7245 Steps   Best: 1509050534   32.40 seconds
7249 Steps   Best: 1509050284   32.41 seconds
7250 Steps   Best: 1509048159   32.41 seconds
7253 Steps   Best: 1509047723   32.42 seconds
7265 Steps   Best: 1509045484   32.45 seconds
7267 Steps   Best: 1509044176   32.46 seconds
7271 Steps   Best: 1509043651   32.47 seconds
7275 Steps   Best: 1509042618   32.48 seconds
7276 Steps   Best: 1509041880   32.48 seconds
7294 Steps   Best: 1509040874   32.53 seconds
7300 Steps   Best: 1509039144   32.54 seconds
7316 Steps   Best: 1509038431   32.61 seconds
7318 Steps   Best: 1509037129   32.62 seconds
7319 Steps   Best: 1509037116   32.62 seconds
7321 Steps   Best: 1509035413   32.62 seconds
7323 Steps   Best: 1509035396   32.63 seconds
7328 Steps   Best: 1509034390   32.64 seconds
7329 Steps   Best: 1509030287   32.64 seconds
7343 Steps   Best: 1509027771   32.67 seconds
7355 Steps   Best: 1509024376   32.71 seconds
7357 Steps   Best: 1509023932   32.72 seconds
7361 Steps   Best: 1509023517   32.73 seconds
7362 Steps   Best: 1509020200   32.74 seconds
7372 Steps   Best: 1509018058   32.76 seconds
7380 Steps   Best: 1509016453   32.79 seconds
7389 Steps   Best: 1509013434   32.83 seconds
7390 Steps   Best: 1509010698   32.83 seconds
7397 Steps   Best: 1509007151   32.86 seconds
7399 Steps   Best: 1509006974   32.87 seconds
7400 Steps   Best: 1509006642   32.87 seconds
7401 Steps   Best: 1509006132   32.87 seconds
7412 Steps   Best: 1509006051   32.91 seconds
7413 Steps   Best: 1509005071   32.91 seconds
7423 Steps   Best: 1509004598   32.95 seconds
7424 Steps   Best: 1509003345   32.95 seconds
7425 Steps   Best: 1509001822   32.97 seconds
7429 Steps   Best: 1509000502   32.98 seconds
7437 Steps   Best: 1509000195   33.01 seconds
7439 Steps   Best: 1508999123   33.02 seconds
7442 Steps   Best: 1508994608   33.03 seconds
7450 Steps   Best: 1508993109   33.06 seconds
7453 Steps   Best: 1508988255   33.07 seconds
7454 Steps   Best: 1508986909   33.07 seconds
7455 Steps   Best: 1508986778   33.07 seconds
7456 Steps   Best: 1508986000   33.07 seconds
7464 Steps   Best: 1508983019   33.10 seconds
7469 Steps   Best: 1508982598   33.11 seconds
7470 Steps   Best: 1508979017   33.11 seconds
7475 Steps   Best: 1508977637   33.13 seconds
7485 Steps   Best: 1508976804   33.16 seconds
7497 Steps   Best: 1508973448   33.20 seconds
7498 Steps   Best: 1508972996   33.20 seconds
7499 Steps   Best: 1508972584   33.20 seconds
7500 Steps   Best: 1508971099   33.20 seconds
7504 Steps   Best: 1508970643   33.21 seconds
7517 Steps   Best: 1508969821   33.25 seconds
7518 Steps   Best: 1508966242   33.25 seconds
7520 Steps   Best: 1508965987   33.26 seconds
7538 Steps   Best: 1508964045   33.30 seconds
7542 Steps   Best: 1508963712   33.31 seconds
7545 Steps   Best: 1508962807   33.32 seconds
7546 Steps   Best: 1508962458   33.32 seconds
7548 Steps   Best: 1508961952   33.33 seconds
7552 Steps   Best: 1508961028   33.34 seconds
7555 Steps   Best: 1508960714   33.35 seconds
7556 Steps   Best: 1508960239   33.35 seconds
7560 Steps   Best: 1508960114   33.37 seconds
7563 Steps   Best: 1508959938   33.37 seconds
7566 Steps   Best: 1508959402   33.38 seconds
7567 Steps   Best: 1508958326   33.38 seconds
7579 Steps   Best: 1508955373   33.42 seconds
7587 Steps   Best: 1508954302   33.44 seconds
7591 Steps   Best: 1508953951   33.45 seconds
7600 Steps   Best: 1508949256   33.48 seconds
7604 Steps   Best: 1508948423   33.49 seconds
7607 Steps   Best: 1508944888   33.50 seconds
7608 Steps   Best: 1508944616   33.50 seconds
7618 Steps   Best: 1508944043   33.53 seconds
7632 Steps   Best: 1508943915   33.60 seconds
7636 Steps   Best: 1508942279   33.61 seconds
7642 Steps   Best: 1508942048   33.63 seconds
7644 Steps   Best: 1508942045   33.63 seconds
7646 Steps   Best: 1508941149   33.64 seconds
7656 Steps   Best: 1508940793   33.67 seconds
7660 Steps   Best: 1508939671   33.69 seconds
7673 Steps   Best: 1508939485   33.73 seconds
7674 Steps   Best: 1508937589   33.73 seconds
7677 Steps   Best: 1508934003   33.74 seconds
7679 Steps   Best: 1508933836   33.75 seconds
